40A;20170927000000001;2;280029362;2018;355852-4;N;;9565;01;325;125;192;0;317;2016;2183012;27;15;0107121446;00000000
40A;20170927000000001;2;280029363;2018;351796-4;S;;499797587;11;120;136;181;0;939109;2017;2183900;27;15;0107122446;00000000
40A;20170927000000001;2;280029364;2018;356030-4;N;;23354;01;120;60;430;0;530;2017;2183905;27;15;0107123446;00000000
40A;20170927000000001;2;280029365;2018;363238-4;N;;3116;01;220;156;260;0;416;2015;2183905;27;15;0107124446;00000000
40A;20170927000000001;2;280029366;2018;370388-4;N;;4478;01;220;170;262;0;432;2015;2183905;27;15;0107125446;00000000
40A;20170927000000001;2;280029367;2018;358932-4;N;;1241;01;220;80;93;0;173;2015;2183905;27;15;0107126446;00000000
40A;20170927000000001;2;280029368;2018;366090-4;N;;22576;01;120;60;297;0;397;2017;2183905;27;15;0107127446;00000000
40A;20170927000000001;2;280029369;2018;354615-4;N;;3942;01;220;169;215;0;384;2015;2183905;27;15;0107128446;00000000
40A;20170927000000001;2;280029370;2018;361845-4;N;;2481;01;220;147;210;0;357;2015;2183905;27;15;0107129446;00000000
40A;20170927000000001;2;280031327;2018;351772-4;S;;19353;11;321;4220;18178;0;22398;2016;2183006;27;15;0107521446;00000000
40A;20170927000000001;2;280031328;2018;351772-4;S;;19353;11;321;4220;18178;0;22398;2016;2183006;27;15;0107522446;00000000
40A;20170927000000001;2;280031329;2018;370210-4;N;;5647;01;321;2098;8546;0;10644;2016;2183006;27;15;0107523446;00000000
40A;20170927000000001;2;280031330;2018;358736-4;N;;4467;01;321;1585;6287;0;7872;2016;2183006;27;15;0107524446;00000000
40A;20170927000000001;2;280031331;2018;365887-4;N;;5455;01;321;1785;7271;0;9056;2016;2183006;27;15;0107525446;00000000
40A;20170927000000001;2;280031332;2018;354405-4;N;;14758;01;321;4630;19919;0;24549;2016;2183006;27;15;0107526446;00000000
40A;20170927000000001;2;280031333;2018;361624-4;N;;5387;01;324;460;423;0;883;2016;2183006;27;15;0107527446;00000000
40A;20170927000000001;2;280031334;2018;351738-4;S;;1825;11;220;403;567;0;970;2015;2183005;27;15;0107501446;00000000
40A;20170927000000001;2;280031335;2018;352570-4;N;;1420;01;220;250;807;0;1057;2015;2183005;27;15;0107502446;00000000
40A;20170927000000001;2;280031336;2018;359792-4;N;;1544;01;220;257;325;0;582;2015;2183005;27;15;0107503446;00000000
40A;20170927000000001;2;280031337;2018;366946-4;N;;1026;01;220;226;310;0;536;2015;2183005;27;15;0107504446;00000000
40A;20170927000000001;2;280031338;2018;355475-4;N;;902;01;220;219;664;0;883;2015;2183005;27;15;0107505446;00000000
40A;20170927000000001;2;280031341;2018;362698-4;N;;2874;01;321;1344;4225;0;5569;2016;2183004;27;15;0107506446;00000000
40A;20170927000000001;2;280031342;2018;369822-4;N;;657;01;498;0;0;1;0;2013;0;27;15;0107507446;00000000
40A;20170927000000001;2;280031343;2018;715766-9;N;;734;01;210;173;0;0;173;2015;2183005;27;15;0107508446;00000000
40A;20170927000000001;2;280031344;2018;365523-4;N;;5133;01;321;2724;10200;0;12924;2016;2183004;27;15;0107509446;00000000
40A;20170927000000001;2;280031345;2018;351752-4;S;;5423;11;321;2891;10352;0;13243;2016;2183004;27;15;0107510446;00000000
40A;20170927000000001;2;280031346;2018;367034-4;N;;1078;01;827;0;0;0;0;2013;0;27;15;0107511446;00000000
40A;20170927000000001;2;280031347;2018;355562-4;N;;1393;01;220;197;502;0;699;2015;2183016;27;15;0107512446;00000000
40A;20170927000000001;2;280031348;2018;362793-4;N;;1103;01;220;184;518;0;702;2015;2183016;27;15;0107513446;00000000
40A;20170927000000001;2;280031349;2018;369927-4;N;;1378;01;220;197;339;0;536;2015;2183016;27;15;0107514446;00000000
40A;20170927000000001;2;280031350;2018;358458-4;N;;1124;01;220;185;415;0;600;2015;2183016;27;15;0107515446;00000000
40A;20170927000000001;2;280031351;2018;351607-4;S;;1403;11;220;198;314;0;512;2015;2183016;27;15;0107516446;00000000
40A;20170927000000001;2;280031352;2018;351607-4;S;;1403;11;220;198;314;0;512;2015;2183016;27;15;0107517446;00000000
