09M;20170404000000989;2;280083153;M;6755050.8;587354.5;2;21
09M;20170404000000989;2;280082731;M;6762886;593212.3;1;0
09M;20170404000000989;2;280080884;M;6750000.5;591795.6;5;26
09M;20170404000000989;2;280085894;M;6751780.2;595911;1;0
09M;20170404000000989;2;280190940;M;6750923;577267.2;1;0
09M;20170404000000989;2;280081624;M;6752527.7;593950.8;1;0
09M;20170404000000989;2;280084920;M;6759887.3;578405.8;2;38
09M;20170404000000989;2;280177426;M;6759181;588329.7;3;20
09M;20170404000000989;2;280083068;M;6762763.8;598540.5;1;0
09M;20170404000000989;2;280170618;M;6767622.4;591130.9;2;43
09M;20170404000000989;2;280081432;M;6754162.1;584990.1;2;15
09M;20170404000000989;2;280083436;M;6750994.6;593091.2;2;14
09M;20170404000000989;2;280083119;M;6754549.1;589155.9;3;28
09M;20170404000000989;2;280084672;M;6750458.8;590462.9;1;0
09M;20170404000000989;2;280082753;M;6763791.8;594457.3;4;13
09M;20170404000000989;2;280082800;M;6756269.8;592635.2;2;16
09M;20170404000000989;2;280081861;M;6745729.8;579931.2;2;21
09M;20170404000000989;2;280173222;M;6760078.3;578790.4;3;19
09M;20170404000000989;2;280177620;M;6753265.2;590317.5;2;35
09M;20170404000000989;2;280082551;M;6757653.7;589578.1;4;91
09M;20170404000000989;2;280080762;M;6752157.9;593199.3;1;0
09M;20170404000000989;2;280085180;M;6750430.6;592127.3;1;0
09M;20170404000000989;2;280081266;M;6768088.7;590873.5;2;8
09M;20170404000000989;2;280085465;M;6753001.2;591272.6;1;0
09M;20170404000000989;2;280083236;M;6756202;588569.5;3;21
09M;20170404000000989;2;280080864;M;6746523.9;590406;3;106
09M;20170404000000989;2;280082229;M;6772178.3;591567.2;2;28
09M;20170404000000989;2;280081780;M;6742194;583670.6;3;13
09M;20170404000000989;2;280084931;M;6759452.4;578940.6;2;26
09M;20170404000000989;2;280186052;M;6743340.1;580008.4;3;21
09M;20170404000000989;2;280086122;M;6751776.6;593969.2;4;26
09M;20170404000000989;2;280082868;M;6750063.5;603072.5;2;8164
09M;20170404000000989;2;280081231;M;6769376.6;590878.8;2;27
